Antibiotic,Degree Centrality,Betweenness Centrality,Closeness Centrality,Mean Resistance Rate,Spillover Risk Score
ciprofloxacin,0.75,0.1643483709273182,0.7714285714285714,0.3684962835906232,0.45985339635538247
ceftriaxone,0.65,0.0754887218045112,0.7043478260869566,0.5687361419068736,0.4532674591134155
levofloxacin,0.65,0.1169799498746867,0.7043478260869566,0.4885057471264368,0.44164570910033707
gentamicin,0.75,0.106453634085213,0.7714285714285714,0.2484718826405868,0.40647765501773997
ceftazidime,0.6000000000000001,0.0343483709273182,0.648,0.3594922100403924,0.35815217429031326
cefazolin,0.15,0.0,0.4628571428571428,0.9404255319148936,0.34212765957446806
ampicillin,0.35,0.0894736842105263,0.5586206896551724,0.5543920884235021,0.3331597317902085
aztreonam,0.35,0.0,0.54,0.6114942528735632,0.3234482758620689
trimethoprim/sulfamethoxazole,0.55,0.0188220551378446,0.648,0.2987588652482269,0.3152742761158215
tobramycin,0.45,0.0056140350877192,0.5785714285714286,0.4228052472250252,0.3085257846938233
nitrofurantoin,0.15,0.0,0.4628571428571428,0.7579365079365079,0.28738095238095235
penicillin,0.05,0.0,0.05,0.7680505415162455,0.25041516245487366
tetracycline,0.35,0.0017543859649122,0.5586206896551724,0.3247100802854594,0.23793933987511146
imipenem,0.3,0.0,0.5225806451612903,0.3828125,0.23484375
amikacin,0.35,0.0017543859649122,0.54,0.30243445692883897,0.23125665286812533
ampicillin/sulbactam,0.15,0.0,0.45,0.5328282828282829,0.21984848484848485
meropenem,0.3,0.0007518796992481,0.5225806451612903,0.23985239852398524,0.19218128346697
cefepime,0.05,0.0,0.405,0.49135802469135803,0.1674074074074074
erythromycin,0.05,0.0,0.05,0.47351263243683783,0.16205378973105133
cefoxitin,0.05,0.0,0.4263157894736842,0.4272,0.14816000000000001
chloramphenicol,0.05,0.0,0.3521739130434783,0.2746212121212121,0.10238636363636364
